Week,Proportion_GT,Proportion_GT_CI_lower,Proportion_GT_CI_upper
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0.5,0.150035709,0.849964291
6,0,0,0
7,0.125,0.049700538,0.280686498
8,0.144067797,0.091934717,0.218645577
9,0.160377358,0.102609352,0.241901289
10,0.153846154,0.093911278,0.241823252
11,0.03125,0.008611958,0.106974939
12,0.105421687,0.076781966,0.143088354
13,0.116853933,0.097376098,0.139625178
14,0.103597122,0.083077401,0.128474974
15,0.123268698,0.107304983,0.141231598
16,0.10903584,0.096059453,0.123525627
17,0.103500761,0.09354287,0.11438493
18,0.098189021,0.088809986,0.108440677
19,0.109937005,0.101499379,0.118983164
20,0.110435664,0.099646817,0.122234042
21,0.106591449,0.096613841,0.117465491
22,0.123984351,0.11321113,0.135625965
23,0.117209834,0.106967347,0.128292181
24,0.127497276,0.115555114,0.140477586
25,0.1402783,0.127596666,0.153997853
26,0.140557519,0.127599916,0.154597771
27,0.142265193,0.13001591,0.155462304
28,0.146637744,0.132784307,0.161667075
29,0.165309956,0.14789865,0.184327599
30,0.163280662,0.144383692,0.18411866
31,0.161262799,0.141318974,0.183420004
32,0.173699706,0.151675143,0.198175312
33,0.182142857,0.157507969,0.209671843
34,0.178571429,0.151976478,0.208675123
35,0.192893401,0.163106005,0.226647502
36,0.167322835,0.137386137,0.202253314
37,0.154661017,0.124841044,0.190057023
38,0.234875445,0.189090378,0.287811872
39,0.196850394,0.137040401,0.274461752
40,0.189655172,0.128712887,0.270494066
